oferta,region,empresa,salario,experiencia,viajes,residencia,jornada,contrato,educacion,glosa,url,fecha descarga
Ingeniero/a Informático.,"Concepción, Bíobío",Adecco Chile,800000.0,5.0,No,No,Jornada de 45 horas semanales,contrato indefinido,Universitaria,"Importante empresa se encuentra en búsqueda de: Ingeniero Informático, para el área de Soporte TI. Principales Funciones: -Administrar proyectos TI y equipos corporativos -Gestionar servicio de soporte e infraestructura. -Brindar asistencia de manera remota o diagnosticar para realizar inspección in situ.-Operar plataformas TI para la ejecución de procedimientos y resolución de incidentes.-Brindar capacitación corporativa para el buen uso y realizar fiscalización.-Presentar proyectos de cambio y mejoras como también propuestas de licitación para externalizar. Requisitos: Carrera de Ingeniería en Informática. 5 años de experiencia en funciones relacionadas.Conocimiento de ERP (Empresa cuenta con ERP Local)Computación avanzadaSoporte TIHorario: Lunes a Viernes 9:00 - 18:00",https://www.computrabajo.cl//ofertas-de-trabajo/oferta-de-trabajo-de-ingenieroa-informatico-en-concepcion-144AC299B67FFE4361373E686DCF3405,2020-09-06
"Ingeniero en Prevención Riesgos, Telecomunicaciones","Copiapó, Atacama",Grupo Norte Chile - Servicios de Aseo y Outsoursing,,5.0,No,No,Jornada de 45 horas semanales,contrato a plazo fijo,Universitaria,"Grupo Norte, destacada empresa multinacional con importantes clientes, se encuentra en la búsqueda de Ingenieros en prevención de riesgos para nuevo cliente dedicado al rubro de las telecomunicaciones. El proyecto tiene una duración mínima de 8 meses con una posible extensión a un año.Funciones Principales:- Velar por el cumplimiento de los valores de la compañía y la Política de Seguridad y Salud en el Trabajo - - Ejecutar acciones de control contra acciones y condiciones inseguras en las instalaciones de trabajo. - Asesorar, proponiendo soluciones para el control de riesgos en el ambiente o medios de trabajo, apoyando al personal en terreno para el control de las causas de accidentes y enfermedades profesionales. - Efectuar acciones educativas en Prevención de Riesgos en terreno.- Realizar evaluación de riesgos y enfermedades profesionales en terreno- Generar y aplicar planes para potenciar la prevención de accidentes.- Investigar accidentes- Velar por el cumplimiento de la normativa vigente en materia de prevención- Asesorar a administradores de contrato de Fibra en términos de prevención y cumplimiento de ley 20.123- Confección de matrices de riesgo.Nivel Educacional Requerido:- Ingeniero en Prevención de Riesgos y/o Técnicos en las carreras de ingeniería en prevención de riesgos o Ingeniería con Diplomado en Seguridad y Salud en el Trabajo, debe contar con inscripción en la Seremi de Salud - Manejo de terminología técnica en idioma inglés.Conocimientos Técnicos Requeridos:- Excel intermedio - Registro Seremi vigente para ejercer como Experto en Prevención de Riesgos.- Ley 16.744 y Decretos Complementarios, Decreto Supremo 594, Ley 20.123 de Subcontratación- Conocimiento de matrices de riesgo.- Relacionamiento con entidades fiscalizaciones.- Conocimiento de proyectos de OOCC, OOEE o Telecomunicaciones. Otros Requisitos:- En caso de ser Extranjero/a, debe contar con residencia definitiva.- Experiencia previa de 5 años en el cargo.- Deseable movilización propia.",https://www.computrabajo.cl//ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-en-prevencion-de-riesgos-telecomunicaciones-copiapo-en-copiapo-FEC1484E9A04FA2B61373E686DCF3405,2020-09-06
"Ingeniero en Prevención Riesgos, Telecomunicaciones","La Serena, Coquimbo",Grupo Norte Chile - Servicios de Aseo y Outsoursing,,5.0,No,No,Jornada de 45 horas semanales,contrato a plazo fijo,Universitaria,"Grupo Norte, destacada empresa multinacional con importantes clientes, se encuentra en la búsqueda de Ingenieros en prevención de riesgos para nuevo cliente dedicado al rubro de las telecomunicaciones. El proyecto tiene una duración mínima de 8 meses con una posible extensión a un año.Funciones Principales:- Velar por el cumplimiento de los valores de la compañía y la Política de Seguridad y Salud en el Trabajo - - Ejecutar acciones de control contra acciones y condiciones inseguras en las instalaciones de trabajo. - Asesorar, proponiendo soluciones para el control de riesgos en el ambiente o medios de trabajo, apoyando al personal en terreno para el control de las causas de accidentes y enfermedades profesionales. - Efectuar acciones educativas en Prevención de Riesgos en terreno.- Realizar evaluación de riesgos y enfermedades profesionales en terreno- Generar y aplicar planes para potenciar la prevención de accidentes.- Investigar accidentes- Velar por el cumplimiento de la normativa vigente en materia de prevención- Asesorar a administradores de contrato de Fibra en términos de prevención y cumplimiento de ley 20.123- Confección de matrices de riesgo.Nivel Educacional Requerido:- Ingeniero en Prevención de Riesgos y/o Técnicos en las carreras de ingeniería en prevención de riesgos o Ingeniería con Diplomado en Seguridad y Salud en el Trabajo, debe contar con inscripción en la Seremi de Salud - Manejo de terminología técnica en idioma inglés.Conocimientos Técnicos Requeridos:- Excel intermedio - Registro Seremi vigente para ejercer como Experto en Prevención de Riesgos.- Ley 16.744 y Decretos Complementarios, Decreto Supremo 594, Ley 20.123 de Subcontratación- Conocimiento de matrices de riesgo.- Relacionamiento con entidades fiscalizaciones.- Conocimiento de proyectos de OOCC, OOEE o Telecomunicaciones. Otros Requisitos:- En caso de ser Extranjero/a, debe contar con residencia definitiva.- Experiencia previa de 5 años en el cargo.- Deseable movilización propia.",https://www.computrabajo.cl//ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-en-prevencion-de-riesgos-telecomunicaciones-la-serena-en-la-serena-37E59E6FF2F4F25561373E686DCF3405,2020-09-06
"Ingeniero en Prevención Riesgos, Telecomunicaciones","Valparaíso, Valparaíso",Grupo Norte Chile - Servicios de Aseo y Outsoursing,,5.0,No,No,Jornada de 45 horas semanales,contrato a plazo fijo,Universitaria,"Grupo Norte, destacada empresa multinacional con importantes clientes, se encuentra en la búsqueda de Ingenieros en prevención de riesgos para nuevo cliente dedicado al rubro de las telecomunicaciones. El proyecto tiene una duración mínima de 8 meses con una posible extensión a un año.Funciones Principales:- Velar por el cumplimiento de los valores de la compañía y la Política de Seguridad y Salud en el Trabajo - - Ejecutar acciones de control contra acciones y condiciones inseguras en las instalaciones de trabajo. - Asesorar, proponiendo soluciones para el control de riesgos en el ambiente o medios de trabajo, apoyando al personal en terreno para el control de las causas de accidentes y enfermedades profesionales. - Efectuar acciones educativas en Prevención de Riesgos en terreno.- Realizar evaluación de riesgos y enfermedades profesionales en terreno- Generar y aplicar planes para potenciar la prevención de accidentes.- Investigar accidentes- Velar por el cumplimiento de la normativa vigente en materia de prevención- Asesorar a administradores de contrato de Fibra en términos de prevención y cumplimiento de ley 20.123- Confección de matrices de riesgo.Nivel Educacional Requerido:- Ingeniero en Prevención de Riesgos y/o Técnicos en las carreras de ingeniería en prevención de riesgos o Ingeniería con Diplomado en Seguridad y Salud en el Trabajo, debe contar con inscripción en la Seremi de Salud - Manejo de terminología técnica en idioma inglés.Conocimientos Técnicos Requeridos:- Excel intermedio - Registro Seremi vigente para ejercer como Experto en Prevención de Riesgos.- Ley 16.744 y Decretos Complementarios, Decreto Supremo 594, Ley 20.123 de Subcontratación- Conocimiento de matrices de riesgo.- Relacionamiento con entidades fiscalizaciones.- Conocimiento de proyectos de OOCC, OOEE o Telecomunicaciones. Otros Requisitos:- En caso de ser Extranjero/a, debe contar con residencia definitiva.- Experiencia previa de 5 años en el cargo.- Deseable movilización propia.",https://www.computrabajo.cl//ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-en-prevencion-de-riesgos-telecomunicaciones-valparaiso-en-valparaiso-829F0E8167F9EFBB61373E686DCF3405,2020-09-06
"Ingeniero en Prevención Riesgos, Telecomunicaciones","Arica, Arica y Parinacota",Grupo Norte Chile - Servicios de Aseo y Outsoursing,,5.0,No,No,Jornada de 45 horas semanales,contrato a plazo fijo,Universitaria,"Grupo Norte, destacada empresa multinacional con importantes clientes, se encuentra en la búsqueda de Ingenieros en prevención de riesgos para nuevo cliente dedicado al rubro de las telecomunicaciones. El proyecto tiene una duración mínima de 8 meses con una posible extensión a un año.Funciones Principales:- Velar por el cumplimiento de los valores de la compañía y la Política de Seguridad y Salud en el Trabajo - - --- Ejecutar acciones de control contra acciones y condiciones inseguras en las instalaciones de trabajo. - Asesorar, proponiendo soluciones para el control de riesgos en el ambiente o medios de trabajo, apoyando al personal en terreno para el control de las causas de accidentes y enfermedades profesionales. - Efectuar acciones educativas en Prevención de Riesgos en terreno.- Realizar evaluación de riesgos y enfermedades profesionales en terreno- Generar y aplicar planes para potenciar la prevención de accidentes.- Investigar accidentes- Velar por el cumplimiento de la normativa vigente en materia de prevención- Asesorar a administradores de contrato de Fibra en términos de prevención y cumplimiento de ley 20.123- Confección de matrices de riesgo.Nivel Educacional Requerido:- Ingeniero en Prevención de Riesgos y/o Técnicos en las carreras de ingeniería en prevención de riesgos o Ingeniería con Diplomado en Seguridad y Salud en el Trabajo, debe contar con inscripción en la Seremi de Salud - Manejo de terminología técnica en idioma inglés.Conocimientos Técnicos Requeridos:- Excel intermedio - Registro Seremi vigente para ejercer como Experto en Prevención de Riesgos.- Ley 16.744 y Decretos Complementarios, Decreto Supremo 594, Ley 20.123 de Subcontratación- Conocimiento de matrices de riesgo.- Relacionamiento con entidades fiscalizaciones.- Conocimiento de proyectos de OOCC, OOEE o Telecomunicaciones. Otros Requisitos:- En caso de ser Extranjero/a, debe contar con residencia definitiva.- Experiencia previa de 5 años en el cargo.- Deseable movilización propia.",https://www.computrabajo.cl//ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-en-prevencion-de-riesgos-telecomunicaciones-arica-en-arica-71CD1CBF5F224ED861373E686DCF3405,2020-09-06
"Ingeniero en Prevención Riesgos, Telecomunicaciones","Rancagua, Libertador B. O Higgins",Grupo Norte Chile - Servicios de Aseo y Outsoursing,,5.0,No,No,Jornada de 45 horas semanales,contrato a plazo fijo,Universitaria,"Grupo Norte, destacada empresa multinacional con importantes clientes, se encuentra en la búsqueda de Ingenieros en prevención de riesgos para nuevo cliente dedicado al rubro de las telecomunicaciones. El proyecto tiene una duración mínima de 8 meses con una posible extensión a un año.Funciones Principales:- Velar por el cumplimiento de los valores de la compañía y la Política de Seguridad y Salud en el Trabajo - - Ejecutar acciones de control contra acciones y condiciones inseguras en las instalaciones de trabajo. - Asesorar, proponiendo soluciones para el control de riesgos en el ambiente o medios de trabajo, apoyando al personal en terreno para el control de las causas de accidentes y enfermedades profesionales. - Efectuar acciones educativas en Prevención de Riesgos en terreno.- Realizar evaluación de riesgos y enfermedades profesionales en terreno- Generar y aplicar planes para potenciar la prevención de accidentes.- Investigar accidentes- Velar por el cumplimiento de la normativa vigente en materia de prevención- Asesorar a administradores de contrato de Fibra en términos de prevención y cumplimiento de ley 20.123- Confección de matrices de riesgo.Nivel Educacional Requerido:- Ingeniero en Prevención de Riesgos y/o Técnicos en las carreras de ingeniería en prevención de riesgos o Ingeniería con Diplomado en Seguridad y Salud en el Trabajo, debe contar con inscripción en la Seremi de Salud - Manejo de terminología técnica en idioma inglés.Conocimientos Técnicos Requeridos:- Excel intermedio - Registro Seremi vigente para ejercer como Experto en Prevención de Riesgos.- Ley 16.744 y Decretos Complementarios, Decreto Supremo 594, Ley 20.123 de Subcontratación- Conocimiento de matrices de riesgo.- Relacionamiento con entidades fiscalizaciones.- Conocimiento de proyectos de OOCC, OOEE o Telecomunicaciones. Otros Requisitos:- En caso de ser Extranjero/a, debe contar con residencia definitiva.- Experiencia previa de 5 años en el cargo.- Deseable movilización propia.",https://www.computrabajo.cl//ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-en-prevencion-de-riesgos-telecomunicaciones-rancagua-en-rancagua-79AFE296AD04810561373E686DCF3405,2020-09-06
"Ingeniero en Prevención Riesgos, Telecomunicaciones","Santiago Centro, R.Metropolitana",Grupo Norte Chile - Servicios de Aseo y Outsoursing,,5.0,No,No,Jornada de 45 horas semanales,contrato a plazo fijo,Universitaria,"Grupo Norte, destacada empresa multinacional con importantes clientes, se encuentra en la búsqueda de Ingenieros en prevención de riesgos para nuevo cliente dedicado al rubro de las telecomunicaciones. El proyecto tiene una duración mínima de 8 meses con una posible extensión a un año.Funciones Principales:- Velar por el cumplimiento de los valores de la compañía y la Política de Seguridad y Salud en el Trabajo - - --- Ejecutar acciones de control contra acciones y condiciones inseguras en las instalaciones de trabajo. - Asesorar, proponiendo soluciones para el control de riesgos en el ambiente o medios de trabajo, apoyando al personal en terreno para el control de las causas de accidentes y enfermedades profesionales. - Efectuar acciones educativas en Prevención de Riesgos en terreno.- Realizar evaluación de riesgos y enfermedades profesionales en terreno- Generar y aplicar planes para potenciar la prevención de accidentes.- Investigar accidentes- Velar por el cumplimiento de la normativa vigente en materia de prevención- Asesorar a administradores de contrato de Fibra en términos de prevención y cumplimiento de ley 20.123- Confección de matrices de riesgo.Nivel Educacional Requerido:- Ingeniero en Prevención de Riesgos y/o Técnicos en las carreras de ingeniería en prevención de riesgos o Ingeniería con Diplomado en Seguridad y Salud en el Trabajo, debe contar con inscripción en la Seremi de Salud - Manejo de terminología técnica en idioma inglés.Conocimientos Técnicos Requeridos:- Excel intermedio - Registro Seremi vigente para ejercer como Experto en Prevención de Riesgos.- Ley 16.744 y Decretos Complementarios, Decreto Supremo 594, Ley 20.123 de Subcontratación- Conocimiento de matrices de riesgo.- Relacionamiento con entidades fiscalizaciones.- Conocimiento de proyectos de OOCC, OOEE o Telecomunicaciones. Otros Requisitos:- En caso de ser Extranjero/a, debe contar con residencia definitiva.- Experiencia previa de 5 años en el cargo.- Deseable movilización propia.",https://www.computrabajo.cl//ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-en-prevencion-de-riesgos-telecomunicaciones-santiago-en-santiago-centro-04368454A3F1CB5461373E686DCF3405,2020-09-06
"Ingeniero en Prevención Riesgos, Telecomunicaciones","Chillán, Bíobío",Grupo Norte Chile - Servicios de Aseo y Outsoursing,,5.0,No,No,Jornada de 45 horas semanales,contrato a plazo fijo,Universitaria,"Grupo Norte, destacada empresa multinacional con importantes clientes, se encuentra en la búsqueda de Ingenieros en prevención de riesgos para nuevo cliente dedicado al rubro de las telecomunicaciones. El proyecto tiene una duración mínima de 8 meses con una posible extensión a un año.Funciones Principales:- Velar por el cumplimiento de los valores de la compañía y la Política de Seguridad y Salud en el Trabajo - - Ejecutar acciones de control contra acciones y condiciones inseguras en las instalaciones de trabajo. - Asesorar, proponiendo soluciones para el control de riesgos en el ambiente o medios de trabajo, apoyando al personal en terreno para el control de las causas de accidentes y enfermedades profesionales. - Efectuar acciones educativas en Prevención de Riesgos en terreno.- Realizar evaluación de riesgos y enfermedades profesionales en terreno- Generar y aplicar planes para potenciar la prevención de accidentes.- Investigar accidentes- Velar por el cumplimiento de la normativa vigente en materia de prevención- Asesorar a administradores de contrato de Fibra en términos de prevención y cumplimiento de ley 20.123- Confección de matrices de riesgo.Nivel Educacional Requerido:- Ingeniero en Prevención de Riesgos y/o Técnicos en las carreras de ingeniería en prevención de riesgos o Ingeniería con Diplomado en Seguridad y Salud en el Trabajo, debe contar con inscripción en la Seremi de Salud - Manejo de terminología técnica en idioma inglés.Conocimientos Técnicos Requeridos:- Excel intermedio - Registro Seremi vigente para ejercer como Experto en Prevención de Riesgos.- Ley 16.744 y Decretos Complementarios, Decreto Supremo 594, Ley 20.123 de Subcontratación- Conocimiento de matrices de riesgo.- Relacionamiento con entidades fiscalizaciones.- Conocimiento de proyectos de OOCC, OOEE o Telecomunicaciones. Otros Requisitos:- En caso de ser Extranjero/a, debe contar con residencia definitiva.- Experiencia previa de 5 años en el cargo.- Deseable movilización propia.",https://www.computrabajo.cl//ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-en-prevencion-de-riesgos-telecomunicaciones-chillan-en-chillan-483BB0E163C051F161373E686DCF3405,2020-09-06
"Ingeniero en Prevención Riesgos, Telecomunicaciones","Talca, Maule",Grupo Norte Chile - Servicios de Aseo y Outsoursing,,5.0,No,No,Jornada de 45 horas semanales,contrato a plazo fijo,Universitaria,"Grupo Norte, destacada empresa multinacional con importantes clientes, se encuentra en la búsqueda de Ingenieros en prevención de riesgos para nuevo cliente dedicado al rubro de las telecomunicaciones. El proyecto tiene una duración mínima de 8 meses con una posible extensión a un año.Funciones Principales:- Velar por el cumplimiento de los valores de la compañía y la Política de Seguridad y Salud en el Trabajo - - Ejecutar acciones de control contra acciones y condiciones inseguras en las instalaciones de trabajo. - Asesorar, proponiendo soluciones para el control de riesgos en el ambiente o medios de trabajo, apoyando al personal en terreno para el control de las causas de accidentes y enfermedades profesionales. - Efectuar acciones educativas en Prevención de Riesgos en terreno.- Realizar evaluación de riesgos y enfermedades profesionales en terreno- Generar y aplicar planes para potenciar la prevención de accidentes.- Investigar accidentes- Velar por el cumplimiento de la normativa vigente en materia de prevención- Asesorar a administradores de contrato de Fibra en términos de prevención y cumplimiento de ley 20.123- Confección de matrices de riesgo.Nivel Educacional Requerido:- Ingeniero en Prevención de Riesgos y/o Técnicos en las carreras de ingeniería en prevención de riesgos o Ingeniería con Diplomado en Seguridad y Salud en el Trabajo, debe contar con inscripción en la Seremi de Salud - Manejo de terminología técnica en idioma inglés.Conocimientos Técnicos Requeridos:- Excel intermedio - Registro Seremi vigente para ejercer como Experto en Prevención de Riesgos.- Ley 16.744 y Decretos Complementarios, Decreto Supremo 594, Ley 20.123 de Subcontratación- Conocimiento de matrices de riesgo.- Relacionamiento con entidades fiscalizaciones.- Conocimiento de proyectos de OOCC, OOEE o Telecomunicaciones. Otros Requisitos:- En caso de ser Extranjero/a, debe contar con residencia definitiva.- Experiencia previa de 5 años en el cargo.- Deseable movilización propia.",https://www.computrabajo.cl//ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-en-prevencion-de-riesgos-telecomunicaciones-talca-en-talca-42D9114D0A0A288761373E686DCF3405,2020-09-06
Ingeniero Seguridad TI y Monitoreo," Providencia, R.Metropolitana",GRUPOINTELSIS SPA,2222222.0,4.0,No,No,Jornada de 60 horas semanales,contrato a plazo fijo,Educación media,"En GRUPOINTELSIS, estamos buscando  Ingeniero de Seguridad de la Información y Ciberseguridad para formar parte de nuestra Gerencia de Tecnología y Estrategia Digital.Principales funciones:      Determinar las medidas de seguridad adecuadas para el tipo de información, proteger información personal o confidencial del acceso o uso no autorizado.Gestionar vulnerabilidades con las diferentes áreas internas de la organización.Identificar riesgos potenciales a la seguridad y diseñar estrategias y sistemas defensivos en contra de intrusos.Monitorear los sistemas para detectar actividades inusuales, tales como accesos, modificaciones, duplicaciones o destrucción de información no autorizados.Implementar protocolos capaces de contrarrestar las potenciales amenazas.Probar estrategias y defensas de seguridad.Simular violaciones de accesos no autorizados para identificar debilidades potenciales.Realizar Análisis de vulnerabilidades y pentesting para poner a prueba los sistemas de defensa.Elaborar informes basados en los resultados obtenidos en las distintas pruebas.Responsable de actualizar los sistemas de seguridad, desarrollar planes para contrarrestar las amenazas.Analizar nuevos métodos de intrusión implementados por cibercriminales:Estar al corriente de las tendencias y nuevos procedimientos en la industria.Tomar las previsiones necesarias, actualizar y reforzar los sistemas de defensa.Requerimos:-Título de Ingeniero Civil en informática o equivalente. -Cursos y especializaciones:Certificado ISO 27.001, CEH, CCNA, deseable OSCP,CISSP, Riesgos ISO 31.000, Seguridad web Azure, GCPManejo de contratos, Normativas vigentes regulatorias-Conocimientos:Dispositivos de seguridad. (DLP, WAF, SIEM, Proxy, NAC, CASB, Firewalls Perimetrales, IDS/IDP).  Normativas ISO 27001, NIST. Hardening de Plataformas Microsoft, Linux. Amplios conocimientos de Active Directory. Administración de Base de Datos. Amplios conocimientos de Networking.Seguridad Perimetral. Inglés avanzado, oral y escrito. Manejo de Antivirus, VPNs, Certificados Digitales, Gestion Office 365. -Experiencia:5 años mínimo en cargos similares, proyectos de implementación de DRP, activos de información y y auditorías de seguridad de la información (ISO).Levantamiento de riesgos técnicos de seguridad de la Información.Se valorará experiencia en solución Splunk y Splunk Enterprise Security para monitoreo.Conocimiento en herramientas de seguridad Cloud.Experiencia en seguridad de la Información y marcos regulatorios.Si cumples con estos requisitos ¡Te invitamos a postular y formar parte de nuestro equipo!",https://www.computrabajo.cl//ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-seguridad-ti-y-monitoreo-en-santiago-providencia-18AC5D8AAC8F8F0261373E686DCF3405,2020-09-06
